Model,N Runs,Total Time (s),Prompt Speed (t/s),Gen Speed (t/s),Free RAM Start (MB),RAM Used (MB),CPU Peak (%)
LFM2.5-1.2B-Base-F16.gguf,3,16.0,33.47,5.57,2880.49,2303.47,292.33
LFM2.5-1.2B-Base-Q5_K_M.gguf,3,10.67,35.33,10.63,3277.45,1665.28,357.33
LFM2.5-1.2B-Base-Q4_K_M.gguf,3,7.33,43.67,13.67,3125.38,1452.97,299.33
LFM2.5-1.2B-Base-Q3_K_M.gguf,3,14.33,18.27,11.07,3203.15,911.97,464.0
Qwen3.5-2B-F16.gguf,3,310.33,22.7,1.87,3382.73,3744.25,430.33
Qwen3.5-2B-Q5_K_M.gguf,2,181.0,22.55,4.6,3315.84,2856.29,509.0
Qwen3.5-2B-Q4_K_M.gguf,2,297.0,27.0,4.95,3503.62,2562.88,500.5
Qwen3.5-2B-Q3_K_M.gguf,2,187.0,14.55,4.25,3909.22,1897.97,525.0
