Model,N,TotalTime_s_mean,TotalTime_s_std,PromptTPS_mean,PromptTPS_std,GenTPS_mean,GenTPS_std,FreeRAMStart_MB_mean,FreeRAMStart_MB_std,RAMUsed_MB_mean,RAMUsed_MB_std,CPUPeak_pct_mean,CPUPeak_pct_std
LFM2.5-1.2B-Base-F16.gguf,3,16.0,2.828,33.467,6.485,5.567,0.189,2880.493,115.531,2303.473,13.321,292.333,20.039
LFM2.5-1.2B-Base-Q3_K_M.gguf,3,14.333,1.886,18.267,1.815,11.067,0.694,3203.153,85.395,911.97,15.084,464.0,6.976
LFM2.5-1.2B-Base-Q4_K_M.gguf,3,7.333,0.471,43.667,2.384,13.667,0.236,3125.38,110.47,1452.973,14.148,299.333,19.686
LFM2.5-1.2B-Base-Q5_K_M.gguf,3,10.667,1.7,35.333,1.212,10.633,0.624,3277.45,53.393,1665.277,14.067,357.333,33.807
Qwen3.5-2B-F16.gguf,3,310.333,76.269,22.7,1.711,1.867,0.189,3382.727,99.765,3744.253,8.045,430.333,34.654
Qwen3.5-2B-Q3_K_M.gguf,3,187.0,81.65,14.55,0.776,4.25,0.286,3909.22,49.365,1897.97,0.016,525.0,1.633
Qwen3.5-2B-Q4_K_M.gguf,3,297.0,37.559,27.0,2.123,4.95,0.204,3503.625,95.322,2562.88,0.376,500.5,20.821
Qwen3.5-2B-Q5_K_M.gguf,3,181.0,22.045,22.55,0.204,4.6,0.245,3315.835,15.664,2856.29,0.237,509.0,16.33
